trade_date,exchange_id,rzye,rzmre,rzche,rqye,rqmcl,rzrqye,rqyl
20260126,SZSE,1332304329890.0,154323860247.0,153726312476.0,5714554254.0,38272477.0,1338018884144.0,660394212.0
20260126,SSE,1366798503378.0,154735136572.0,153334124060.0,11703621424.0,75145599.0,1378502124802.0,2222133773.0
20260126,BSE,8919021357.0,1303879818.0,2681884177.0,201983.0,200.0,8919223340.0,5354.0
20260123,SZSE,1331731563883.0,155455848321.0,157088302578.0,5713594740.0,30096720.0,1337445158623.0,649300611.0
20260123,SSE,1365416506544.0,145908474464.0,145614213103.0,11621093846.0,44646066.0,1377037600390.0,2185844277.0
20260123,BSE,8992454215.0,1398369460.0,2820655633.0,183253.0,2300.0,8992637468.0,5154.0
20260122,SZSE,1333414055085.0,133778608827.0,132010681980.0,5718810838.0,25542563.0,1339132865923.0,661728257.0
20260122,SSE,1365143170716.0,133171747555.0,131036376549.0,11651406916.0,40077185.0,1376794577632.0,2248833952.0
20260122,BSE,8985303886.0,952531088.0,2379714903.0,70635.0,0.0,8985374521.0,2854.0
20260121,SZSE,1331661149970.0,128547039981.0,127136935768.0,5706174312.0,29201394.0,1337367324282.0,666387986.0
20260121,SSE,1362861930351.0,130471229922.0,120375159699.0,11745714324.0,58815152.0,1374607644675.0,2264450485.0
20260121,BSE,9047599789.0,920829842.0,2346837143.0,70833.0,0.0,9047670622.0,2854.0
20260120,SZSE,1330268304154.0,134079730842.0,139951686229.0,5619112398.0,25924721.0,1335887416552.0,668945630.0
20260120,SSE,1352775686018.0,128347997913.0,136206533368.0,11719542713.0,113480928.0,1364495228731.0,2291872799.0
20260120,BSE,8975781377.0,1046396685.0,2469508919.0,128495.0,1000.0,8975909872.0,4854.0
20260119,SZSE,1336156587174.0,133914876550.0,141425801031.0,5717086193.0,32308309.0,1341873673367.0,674483567.0
20260119,SSE,1360663928801.0,132407164178.0,133489300044.0,11525309862.0,64885103.0,1372189238663.0,2240580676.0
20260119,BSE,9111934925.0,1099279540.0,2519498993.0,107055.0,1000.0,9112041980.0,4382.0
20260116,SZSE,1343686483448.0,169462696612.0,169151229568.0,5671920982.0,17744093.0,1349358404430.0,663422501.0
20260116,SSE,1361765598205.0,164966242181.0,151891179379.0,11432169606.0,62068836.0,1373197767811.0,2227254088.0
20260116,BSE,8980919692.0,1280914988.0,2760476975.0,84648.0,0.0,8981004340.0,3382.0
20260115,SZSE,1343393917315.0,174877902734.0,163278528947.0,5788704011.0,29373634.0,1349182621326.0,675955301.0
20260115,SSE,1348708301293.0,140810884907.0,131599430749.0,11721800689.0,59863627.0,1360430101982.0,2300804798.0
20260115,BSE,9138025992.0,1396437379.0,2843691470.0,83803.0,0.0,9138109795.0,3382.0
20260114,SZSE,1331812728339.0,244113109991.0,237280411879.0,5823307597.0,38064575.0,1337636035936.0,684749934.0
20260114,SSE,1339530229868.0,204490292077.0,196200382007.0,11779589771.0,83008375.0,1351309819639.0,2324645521.0
20260114,BSE,9284465730.0,2228847903.0,3747344099.0,294680.0,0.0,9284760410.0,12345.0
20260113,SZSE,1325010231710.0,221518230592.0,215630530434.0,5770513077.0,31920203.0,1330780744787.0,680048048.0
20260113,SSE,1331269993389.0,180521195735.0,177136644784.0,11830654874.0,47466976.0,1343100648263.0,2334524317.0
20260113,BSE,9110436992.0,2259379404.0,3810878612.0,300502.0,0.0,9110737494.0,12345.0
20260112,SZSE,1319152302340.0,236630972677.0,215797177218.0,5918282090.0,34791274.0,1325070584430.0,684242132.0
